,Downward short-wave radiation flux,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20170103080000,,0.0,23.388671875,39.306640625,101956.4697265625,101983.45947265625,60.929264068603516,296.1409454345703,39.306640625,0.0,-4.444982528686523,-1.0168075561523438
20170103120000,,0.0,31.93359375,37.548828125,102138.916015625,102156.396484375,63.81201362609863,295.33245849609375,37.548828125,0.0,-4.271001815795898,-3.9142494201660156
20170103170000,,0.0,24.70703125,32.51953125,102044.87915039062,102071.50268554688,67.96397018432617,294.77955627441406,32.51953125,0.0,-3.568479537963867,-3.3393030166625977
20170103140000,,0.0,30.2734375,35.986328125,102126.025390625,102152.96630859375,66.21919059753418,294.979248046875,35.986328125,0.0,-4.004916191101074,-3.6610946655273438
20170103130000,,0.0,28.61328125,39.84375,102139.53857421875,102162.37182617188,64.38182830810547,295.13255310058594,39.84375,0.0,-4.131823539733887,-3.6037158966064453
20170103180000,,0.0,24.51171875,32.9833984375,102024.20043945312,102050.92163085938,70.37677478790283,294.69361877441406,33.0078125,,-3.5513267517089844,-3.3160181045532227
20170103060000,,0.0,35.009765625,43.115234375,101953.7841796875,101973.21166992188,58.2077693939209,296.45823669433594,43.115234375,0.0,-3.0369577407836914,-1.2538776397705078
20170103070000,,0.0,30.615234375,42.3828125,101952.2705078125,101971.97875976562,58.80193328857422,296.40753173828125,42.3828125,0.0,-3.931436538696289,-1.1439437866210938
20170104140000,,0.0244140625,34.326171875,41.845703125,101963.22631835938,101981.53686523438,65.16430473327637,295.57171630859375,41.845703125,0.0,-3.3717193603515625,0.40660762786865234
20170104070000,,0.0,30.6640625,64.013671875,101813.81225585938,101830.06591796875,61.723793029785156,296.0620880126953,64.013671875,0.0,-2.8078536987304688,0.4078407287597656
20170104150000,,3.466796875,31.34765625,47.16796875,101920.556640625,101940.39916992188,65.38569736480713,295.5325622558594,47.16796875,0.0,-3.4258031845092773,0.4212188720703125
20170104060000,,0.0,29.150390625,52.9296875,101816.91284179688,101832.80639648438,61.77657604217529,296.0545196533203,52.9296875,0.0,-3.025514602661133,0.6953163146972656
20170104180000,,0.0,34.716796875,50.048828125,101833.23364257812,101850.92163085938,66.87696838378906,295.4389343261719,50.048828125,,-3.2739133834838867,-0.22812366485595703
20170104130000,,0.0,32.666015625,37.060546875,101977.89916992188,102000.21362304688,65.14216423034668,295.5913391113281,37.060546875,0.0,-3.2988834381103516,0.4442930221557617
20170104040000,,0.0,31.689453125,93.603515625,101914.306640625,101934.66796875,61.1083402633667,296.1937713623047,93.603515625,0.0,-3.271212577819824,0.7178573608398438
20170104080000,,0.0,34.228515625,76.416015625,101818.46923828125,101842.02270507812,62.37599563598633,296.0031433105469,76.416015625,0.0,-2.943235397338867,0.3582754135131836
20170104170000,,0.0,25.09765625,62.744140625,101858.90502929688,101875.42724609375,66.5573501586914,295.46034240722656,62.744140625,0.0,-3.3182926177978516,0.43149662017822266
20170104050000,,0.0,33.935546875,80.3466796875,101805.15747070312,101828.57666015625,62.21817684173584,296.0146789550781,80.322265625,0.0,-3.4458913803100586,0.9857177734375
20170104030000,,0.0,28.369140625,82.080078125,101969.57397460938,101986.865234375,61.3455867767334,296.285400390625,82.080078125,0.0,-3.7418670654296875,0.49282360076904297
20170104160000,,0.0244140625,24.951171875,49.90234375,101878.9794921875,101899.09057617188,65.9579610824585,295.4803771972656,49.90234375,0.0,-3.4025793075561523,0.5195388793945312
20170104100000,,0.0,37.6953125,38.916015625,101911.962890625,101936.376953125,64.90437126159668,295.7082214355469,39.013671875,0.0,-3.3602724075317383,-0.1967639923095703
20170104110000,,0.0,29.39453125,42.2607421875,101966.41235351562,101988.04931640625,65.07878684997559,295.6571807861328,42.236328125,0.0,-3.292308807373047,-0.1476268768310547
20170104120000,,0.0,24.365234375,35.9130859375,101975.0244140625,102000.18310546875,65.09300231933594,295.6052703857422,35.9375,0.0,-3.28147029876709,0.37371349334716797
20170104090000,,0.0,39.453125,43.8232421875,101855.224609375,101880.64575195312,63.827253341674805,295.8461608886719,43.84765625,0.0,-3.29705810546875,-0.011297225952148438
20170105150000,,0.0,37.841796875,47.94921875,101682.91625976562,101709.63134765625,68.43350410461426,296.65306091308594,47.94921875,0.0,0.21115398406982422,5.534383773803711
20170105180000,,0.0,35.791015625,62.20703125,101628.05786132812,101647.98583984375,68.9808874130249,296.8275146484375,62.20703125,,1.9904489517211914,5.663755416870117
20170105160000,,0.0,33.349609375,40.72265625,101655.48095703125,101679.30297851562,68.77627372741699,296.7011260986328,40.72265625,0.0,0.823307991027832,5.87605094909668
