,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20150102140000,0.0,24.12109375,22.75390625,102555.23681640625,102576.43432617188,70.4313850402832,289.9818115234375,24.12109375,0.0,-1.3376092910766602,-7.895150184631348
20150102110000,0.0,22.94921875,18.6279296875,102552.19116210938,102573.26049804688,71.02611541748047,290.0202941894531,22.94921875,0.0,-0.24053478240966797,-8.312742233276367
20150102060000,0.0,25.732421875,40.625,102429.6875,102453.87573242188,72.2436294555664,290.0442810058594,40.625,0.0,2.4316091537475586,-8.14113998413086
20150102130000,0.0,26.953125,34.765625,102591.455078125,102613.72680664062,70.07598686218262,289.9638366699219,36.474609375,0.0,-0.5392704010009766,-8.672506332397461
20150102170000,0.0,24.12109375,12.548828125,102469.28100585938,102488.87329101562,71.1992826461792,290.1008605957031,24.12109375,0.0,-2.0256567001342773,-6.1787872314453125
20150102080000,0.0,25.68359375,38.623046875,102477.2705078125,102503.11889648438,70.40406513214111,289.9661407470703,38.623046875,0.0,1.773423194885254,-8.875883102416992
20150102070000,0.0,20.654296875,29.443359375,102414.53247070312,102439.7216796875,71.8480110168457,290.0153045654297,29.443359375,0.0,1.8845443725585938,-7.801526069641113
20150102180000,0.0,22.265625,10.4248046875,102424.05395507812,102443.45092773438,71.11211585998535,290.1199493408203,22.265625,,-2.263317108154297,-5.851863861083984
20150102160000,0.0,26.708984375,10.888671875,102495.1171875,102522.3876953125,71.06395244598389,290.0702362060547,26.708984375,0.0,-1.9467945098876953,-6.640145301818848
20150103110000,0.0,12.548828125,12.841796875,102306.6650390625,102331.77490234375,68.75469779968262,291.86940002441406,13.720703125,0.0,-0.4639768600463867,1.0340652465820312
20150103090000,0.0,23.2421875,25.0,102249.52392578125,102278.10668945312,75.81291007995605,292.2043151855469,26.46484375,0.0,-0.2863140106201172,-0.035305023193359375
20150103150000,0.0,0.927734375,0.0,102203.17993164062,102224.31640625,67.29531669616699,291.74310302734375,0.927734375,0.0,-1.0731868743896484,0.99932861328125
20150103120000,0.0,9.765625,11.181640625,102313.07373046875,102334.50317382812,68.42923545837402,291.9177551269531,11.181640625,0.0,-0.5370378494262695,0.9365406036376953
20150103080000,0.0,21.19140625,31.54296875,102239.91088867188,102267.85888671875,72.21542549133301,291.74513244628906,31.54296875,0.0,0.15418434143066406,-0.9964227676391602
20150103060000,0.0,13.916015625,32.2998046875,102271.1181640625,102288.60473632812,69.4344425201416,291.3678436279297,32.2998046875,0.0,0.8195276260375977,-2.3772077560424805
20150103030000,0.0,19.23828125,22.4609375,102422.56469726562,102443.45092773438,69.40114212036133,291.09344482421875,22.4609375,0.0,-0.0961446762084961,-1.8830204010009766
20150103140000,0.0,2.001953125,0.0,102236.87744140625,102263.65966796875,66.33133697509766,291.7219543457031,2.001953125,0.0,-1.2468643188476562,0.9635171890258789
20150103040000,0.0,12.3291015625,12.3046875,102344.87915039062,102366.7724609375,69.88743782043457,291.2394714355469,13.4765625,0.0,0.20690250396728516,-1.5341129302978516
20150103100000,0.0,18.701171875,16.357421875,102273.86474609375,102299.25537109375,70.75202178955078,291.8962097167969,18.701171875,0.0,-0.5324583053588867,0.8044242858886719
