,Downward short-wave radiation flux,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20170320200000,,0.0,44.775390625,38.18359375,101385.05249023438,101419.59228515625,83.75530052185059,294.3271026611328,44.775390625,0.0,5.172120094299316,-6.273838043212891
20170321010000,,0.0,46.58203125,31.1767578125,101686.5234375,101723.67553710938,79.05442810058594,293.5130920410156,46.58203125,0.0,3.7756166458129883,-8.686262130737305
20170321190000,,75.9765625,20.99609375,0.0,101753.90014648438,101791.54663085938,66.40348815917969,290.4424591064453,75.9765625,0.0,-3.678861618041992,-3.5611610412597656
20170322020000,,73.6328125,20.01953125,0.6591796875,101851.33666992188,101887.5,62.51259422302246,291.7550354003906,73.6328125,0.0,-3.382314682006836,-1.90704345703125
20170322000000,,67.578125,4.296875,0.0,101873.51684570312,101908.43505859375,65.17465591430664,290.8504943847656,67.578125,0.0,-3.460752487182617,-2.712963104248047
20170322010000,,75.927734375,14.501953125,0.0,101876.66625976562,101912.55493164062,63.2806282043457,291.30230712890625,75.927734375,0.0,-3.371685028076172,-2.5782718658447266
20170321210000,,63.4765625,7.71484375,0.0,101769.93408203125,101798.876953125,67.72477912902832,290.35675048828125,63.4765625,0.0,-3.8590755462646484,-2.798025131225586
20170321200000,,52.783203125,13.232421875,0.0,101758.99047851562,101785.26000976562,66.7349853515625,290.42408752441406,52.783203125,0.0,-3.747600555419922,-3.1861515045166016
20170321230000,,73.291015625,1.123046875,0.0,101837.8662109375,101873.15673828125,66.81925773620605,290.50697326660156,73.291015625,0.0,-3.794595718383789,-3.1223182678222656
20170321220000,,47.55859375,2.783203125,0.0,101801.34887695312,101838.48876953125,68.37143325805664,290.3122100830078,47.55859375,0.0,-3.6175765991210938,-2.978200912475586
20170323020000,,20.556640625,61.767578125,75.87890625,101455.96923828125,101489.45922851562,87.75863456726074,293.1437072753906,75.87890625,13.46875,-5.74778938293457,3.6331710815429688
20170322210000,,64.35546875,52.734375,51.46484375,101439.51416015625,101473.83422851562,74.91680145263672,293.1710662841797,64.35546875,0.0,-3.036026954650879,3.6980419158935547
20170322190000,,58.10546875,46.533203125,48.53515625,101425.830078125,101453.84521484375,71.00909614562988,293.0574188232422,58.10546875,0.0,-3.3559274673461914,3.1380844116210938
20170323010000,,3.80859375,59.814453125,65.0390625,101504.33959960938,101538.72680664062,85.58528709411621,293.0715026855469,65.0390625,4.546875,-5.529609680175781,3.172771453857422
20170322200000,,44.677734375,51.708984375,51.123046875,101409.9365234375,101437.90283203125,72.15452575683594,293.16375732421875,51.806640625,0.0,-3.195596694946289,4.0499725341796875
20170322230000,,2.05078125,51.025390625,63.3544921875,101503.55834960938,101535.02807617188,79.12899208068848,293.2247314453125,63.330078125,1.109375,-3.780609130859375,3.7864818572998047
20170323000000,,11.669921875,58.69140625,66.845703125,101529.91943359375,101565.71655273438,82.16777038574219,293.0791015625,66.845703125,3.09375,-4.13327693939209,2.1122779846191406
20170322220000,,21.923828125,49.4140625,51.611328125,101477.06298828125,101509.43603515625,77.08808135986328,293.1723175048828,51.611328125,0.0,-3.0224533081054688,4.208026885986328
20170323190000,,0.0,39.2578125,0.0,101532.39135742188,101565.8935546875,67.95598030090332,292.61814880371094,39.2578125,0.0,-1.576913833618164,-6.771418571472168
20170324000000,,0.0,47.119140625,18.1396484375,101742.56591796875,101769.07958984375,66.37564277648926,292.6259002685547,47.119140625,0.0,-1.258009910583496,-5.214139938354492
20170324020000,,0.0,31.54296875,9.228515625,101697.0458984375,101732.63549804688,66.55261135101318,292.7989501953125,31.54296875,0.0,-0.36995506286621094,-4.829738616943359
20170323220000,,0.0,37.79296875,0.0,101650.87890625,101681.0791015625,68.11134719848633,292.2620086669922,37.79296875,0.0,-1.6618061065673828,-5.768589019775391
20170324010000,,0.0,47.94921875,42.87109375,101744.07348632812,101777.28271484375,65.59017944335938,292.77288818359375,47.94921875,0.0,-0.6713056564331055,-5.39089298248291
20170323200000,,0.0,40.087890625,0.0,101547.1923828125,101575.90942382812,67.49509620666504,292.4930877685547,40.087890625,0.0,-1.6612348556518555,-6.2141265869140625
20170323210000,,0.0,36.962890625,0.0,101594.78149414062,101621.08764648438,67.30986404418945,292.3829345703125,36.962890625,0.0,-1.6498842239379883,-5.993987083435059
20170323230000,,0.0,41.650390625,2.099609375,101702.685546875,101733.58764648438,68.08731460571289,292.369140625,41.650390625,0.0,-1.6703872680664062,-5.391548156738281
20170325000000,,0.0,39.2578125,53.61328125,101538.00659179688,101572.21069335938,76.80099678039551,293.7331237792969,53.61328125,0.46875,4.478485107421875,2.043436050415039
20170324230000,,0.0,56.640625,58.1787109375,101532.13500976562,101566.2841796875,74.7034683227539,293.8230285644531,58.203125,0.25,5.27471923828125,2.2704315185546875
20170324210000,,0.0,43.5546875,49.169921875,101461.8896484375,101497.94311523438,72.36883163452148,293.8527374267578,49.169921875,0.0,1.5559473037719727,4.474555969238281
20170324220000,,0.0,46.826171875,49.462890625,101489.94750976562,101522.90649414062,71.80665397644043,294.1714630126953,49.462890625,0.1328125,3.655585289001465,4.901524543762207
20170325010000,,0.0,56.982421875,63.7939453125,101552.42919921875,101587.22534179688,84.18766021728516,293.2624206542969,63.818359375,0.609375,4.106555938720703,2.0207366943359375
20170324200000,,0.0,27.001953125,43.798828125,101429.32739257812,101461.06567382812,75.93527793884277,293.43797302246094,43.798828125,0.0,0.11426448822021484,3.827350616455078
20170325020000,,0.0,48.193359375,50.439453125,101563.14086914062,101594.02465820312,89.0977611541748,293.1804504394531,50.439453125,0.1171875,3.781012535095215,-3.9665937423706055
20170324190000,,0.0,19.287109375,35.986328125,101454.80346679688,101482.46459960938,79.6215705871582,293.00160217285156,35.986328125,0.0,-1.348292350769043,2.6203651428222656
20170325210000,,0.0,40.625,45.068359375,101741.2109375,101775.0244140625,63.16657257080078,290.7176971435547,45.068359375,0.0,2.878748893737793,-7.9515790939331055
20170325200000,,0.0,49.12109375,52.8076171875,101694.63500976562,101733.51440429688,65.5514144897461,290.3291320800781,52.83203125,0.0,2.9561147689819336,-5.584117889404297
20170326000000,,0.0,21.240234375,24.853515625,101946.02661132812,101975.2197265625,61.904823303222656,290.3726806640625,24.853515625,0.0,1.4095993041992188,-8.030566215515137
20170326020000,,0.0,19.287109375,14.0869140625,101997.71118164062,102035.8642578125,60.703317642211914,290.318603515625,19.287109375,0.0,1.7535686492919922,-7.55760383605957
20170326010000,,0.0,17.96875,9.7412109375,101960.55297851562,101989.71557617188,61.045623779296875,290.3486633300781,17.96875,0.0,1.0073165893554688,-7.762829780578613
20170325220000,,0.0,26.513671875,25.9521484375,101802.9052734375,101836.68212890625,62.93402862548828,290.47662353515625,26.5625,0.0,2.1577939987182617,-8.105664253234863
20170325230000,,0.0,22.265625,21.7529296875,101871.97265625,101908.9599609375,62.458213806152344,290.3755187988281,22.36328125,0.0,1.65350341796875,-8.10919189453125
20170325190000,,0.0,13.525390625,73.0712890625,101675.04272460938,101705.99365234375,68.01007080078125,290.636474609375,73.046875,0.203125,3.951374053955078,-8.308300018310547
20170326220000,,0.0,0.146484375,1.3671875,102399.39575195312,102434.80224609375,49.0727014541626,290.26025390625,1.3671875,0.0,1.2954177856445312,-8.219192504882812
20170327000000,,0.0,0.9765625,2.197265625,102491.07055664062,102520.69091796875,48.50214385986328,290.5866394042969,2.197265625,0.0,1.2333698272705078,-7.168666839599609
20170326230000,,0.0,0.48828125,1.7578125,102449.65209960938,102486.62719726562,48.79700565338135,290.392578125,1.7578125,0.0,1.175069808959961,-7.667657852172852
20170326190000,,4.98046875,0.0,0.0,102284.228515625,102312.59155273438,52.17450523376465,290.1382751464844,4.98046875,0.0,1.3629589080810547,-8.748762130737305
20170327020000,,0.0,1.953125,3.369140625,102502.87475585938,102536.90795898438,49.06502437591553,290.9992370605469,3.369140625,0.0,2.169950485229492,-6.60984992980957
20170326200000,,6.005859375,0.0,0.0,102310.54077148438,102339.208984375,50.1007661819458,290.2489471435547,6.005859375,0.0,1.4814872741699219,-8.88392448425293
20170326210000,,0.87890625,0.0,0.78125,102357.87963867188,102384.68627929688,49.22081470489502,290.3123321533203,0.9765625,0.0,1.4611186981201172,-8.700214385986328
20170327010000,,0.0,1.513671875,2.880859375,102501.13525390625,102533.50219726562,48.65537166595459,290.78289794921875,2.880859375,0.0,1.5469341278076172,-6.772066116333008
20170327190000,,0.0,4.833984375,0.0,102404.26025390625,102439.453125,60.370948791503906,289.4423370361328,4.833984375,0.0,-3.4901323318481445,-5.163768768310547
20170327220000,,0.146484375,0.0,0.0,102521.68579101562,102549.5361328125,60.36660671234131,288.8318786621094,0.146484375,0.0,-4.100730895996094,-2.844911575317383
20170328020000,,24.951171875,0.0,0.0,102518.56079101562,102556.28051757812,48.986952781677246,290.7279968261719,24.951171875,0.0,-4.609831809997559,-2.419856071472168
20170328000000,,4.931640625,0.0,0.0,102590.10009765625,102623.00415039062,55.12641906738281,289.60662841796875,4.931640625,0.0,-4.374336242675781,-3.245624542236328
20170328010000,,18.26171875,0.0,0.0,102567.1630859375,102598.15673828125,51.04846477508545,290.174072265625,18.26171875,0.0,-4.452715873718262,-2.726494789123535
20170327210000,,0.0,0.0,0.0,102457.53784179688,102488.58032226562,60.53958320617676,288.9427032470703,0.0,0.0,-4.229839324951172,-2.905973434448242
20170327200000,,0.0,1.66015625,0.0,102420.1904296875,102448.8525390625,60.7394905090332,289.1711730957031,1.66015625,0.0,-4.145528793334961,-3.7453079223632812
20170327230000,,0.0,0.0,0.0,102575.25634765625,102604.20532226562,58.68111801147461,289.1456604003906,0.0,0.0,-4.140951156616211,-3.094470977783203
20170328230000,,55.615234375,20.556640625,27.9296875,102326.91650390625,102362.39013671875,67.14308166503906,292.1075439453125,55.615234375,0.0,-2.299928665161133,2.9320287704467773
20170328210000,,72.4609375,8.544921875,25.146484375,102157.24487304688,102188.67797851562,67.60755348205566,291.52894592285156,72.4609375,0.0,-3.119126319885254,3.006035804748535
